id|mrai|avg_time|avg_msg|n95_perc_time|n05_perc_time|std_time|n95_perc_msg|n05_perc_msg|std_msg
results/clique/csv_output_20/general_study.csv|19|317.555|3062.300|325.522|309.576|5.961|3200.000|2856.000|119.887
results/clique/csv_output_21/general_study.csv|20|319.814|2896.600|324.727|309.481|5.343|3025.000|2745.000|105.106
results/clique/csv_output_22/general_study.csv|21|324.088|2846.500|329.934|309.840|7.884|3044.000|2607.000|164.235
results/clique/csv_output_23/general_study.csv|22|329.275|2706.400|338.676|321.875|6.310|2868.000|2492.000|122.328
results/clique/csv_output_24/general_study.csv|23|338.573|2654.000|350.170|315.564|10.332|2806.000|2368.000|150.006
results/clique/csv_output_25/general_study.csv|24|338.376|2529.800|354.401|303.007|16.374|2795.000|2121.000|252.469
results/clique/csv_output_26/general_study.csv|25|346.218|2456.700|361.549|314.636|15.751|2675.000|2022.000|227.888
results/clique/csv_output_27/general_study.csv|26|354.062|2387.700|373.397|324.038|13.528|2549.000|2070.000|146.040
results/clique/csv_output_28/general_study.csv|27|349.808|2208.600|365.512|333.646|16.279|2334.000|1956.000|205.154
results/clique/csv_output_29/general_study.csv|28|360.477|2143.100|374.690|347.452|9.310|2316.000|2018.000|134.664
results/clique/csv_output_30/general_study.csv|29|373.662|2211.600|390.786|357.611|11.946|2404.000|2007.000|147.752
results/clique/csv_output_31/general_study.csv|30|384.382|2140.400|405.438|368.031|14.359|2378.000|2025.000|135.586
results/clique/csv_output_32/general_study.csv|31|392.918|2158.700|405.420|374.822|11.596|2251.000|1970.000|104.343
results/clique/csv_output_33/general_study.csv|32|408.023|2145.400|428.183|394.927|12.349|2267.000|1991.000|144.485
results/clique/csv_output_34/general_study.csv|33|420.672|2168.100|425.180|412.816|8.107|2223.000|2090.000|70.435
results/clique/csv_output_35/general_study.csv|34|428.336|2151.600|434.404|407.167|13.559|2297.000|1990.000|151.981
results/clique/csv_output_36/general_study.csv|35|439.075|2094.300|444.123|416.993|11.774|2177.000|1953.000|90.098
results/clique/csv_output_37/general_study.csv|36|452.935|2167.200|453.596|438.474|10.758|2326.000|2024.000|103.279
results/clique/csv_output_38/general_study.csv|37|463.047|2123.400|473.683|445.977|16.157|2223.000|1980.000|100.347
results/clique/csv_output_39/general_study.csv|38|473.924|2111.000|480.962|462.933|8.806|2178.000|1974.000|93.565
results/clique/csv_output_40/general_study.csv|39|486.071|2131.500|505.691|460.118|19.278|2221.000|1965.000|109.765
results/clique/csv_output_41/general_study.csv|40|500.351|2141.200|506.805|489.203|11.105|2263.000|2018.000|103.700
results/clique/csv_output_42/general_study.csv|41|512.900|2170.200|520.377|487.130|14.156|2315.000|2049.000|93.242
results/clique/csv_output_43/general_study.csv|42|524.667|2193.600|528.477|512.570|7.371|2273.000|2008.000|142.544
results/clique/csv_output_44/general_study.csv|43|533.050|2190.200|537.487|519.048|11.960|2348.000|2064.000|105.781
results/clique/csv_output_45/general_study.csv|44|547.131|2197.900|559.213|522.746|18.472|2383.000|1980.000|141.982
results/clique/csv_output_46/general_study.csv|45|559.466|2214.400|573.718|549.113|8.621|2258.000|2148.000|49.435
results/clique/csv_output_47/general_study.csv|46|575.183|2167.600|586.160|548.969|14.769|2301.000|2009.000|126.630
results/clique/csv_output_48/general_study.csv|47|579.599|2188.500|591.027|560.237|18.626|2272.000|2040.000|152.409
results/clique/csv_output_49/general_study.csv|48|600.281|2167.300|606.242|578.014|19.468|2299.000|1960.000|165.326
results/clique/csv_output_50/general_study.csv|49|605.298|2189.400|616.983|570.842|17.258|2296.000|2077.000|122.293
results/clique/csv_output_51/general_study.csv|50|615.572|2202.500|624.288|600.989|16.135|2310.000|2096.000|64.110
results/clique/csv_output_52/general_study.csv|51|631.176|2234.300|639.742|610.161|12.300|2372.000|2116.000|106.113
results/clique/csv_output_53/general_study.csv|52|642.347|2177.000|654.629|614.732|16.227|2314.000|1973.000|136.978
results/clique/csv_output_54/general_study.csv|53|644.587|2203.700|655.702|624.606|19.104|2301.000|2081.000|142.467
results/clique/csv_output_55/general_study.csv|54|672.727|2212.600|680.343|653.679|15.538|2347.000|2105.000|120.755
results/clique/csv_output_56/general_study.csv|55|682.265|2215.400|698.202|640.574|21.585|2359.000|2019.000|119.265
results/clique/csv_output_57/general_study.csv|56|689.034|2223.400|694.609|668.067|15.446|2396.000|2060.000|128.456
results/clique/csv_output_58/general_study.csv|57|695.873|2213.300|714.735|676.345|14.137|2287.000|2107.000|65.724
results/clique/csv_output_59/general_study.csv|58|714.082|2221.300|729.047|681.775|17.868|2366.000|2050.000|114.058
results/clique/csv_output_60/general_study.csv|59|727.633|2239.900|744.502|684.302|22.415|2396.000|2077.000|102.593
results/clique/csv_output_61/general_study.csv|60|733.006|2206.800|752.821|695.856|20.863|2285.000|2094.000|97.125
